Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-06-03T02:48:50.506Z","bc-15fe3185-4d16-4af4-b53a-c4d012b5e0c3","","On-Demand","gpt-5.5-high","Yes","0","998305","21663232","16596","22678133","32.38"
"2026-06-03T02:46:09.913Z","bc-15fe3185-4d16-4af4-b53a-c4d012b5e0c3","","On-Demand","gpt-5.5-high","Yes","0","387258","0","959","388217","3.90"
"2026-06-03T02:16:04.895Z","bc-15fe3185-4d16-4af4-b53a-c4d012b5e0c3","","On-Demand","gpt-5.5-high","Yes","0","16076","369664","453","386193","0.54"
"2026-06-03T01:51:55.452Z","bc-15fe3185-4d16-4af4-b53a-c4d012b5e0c3","","On-Demand","gpt-5.5-high","No","23985","60754","7519265","18720","7622724","8.33"
"2026-06-03T01:47:40.129Z","bc-15fe3185-4d16-4af4-b53a-c4d012b5e0c3","","On-Demand","gpt-5.5-high","Yes","0","17563","354304","1205","373072","0.57"
"2026-06-03T01:41:45.052Z","bc-15fe3185-4d16-4af4-b53a-c4d012b5e0c3","","On-Demand","gpt-5.5-high","Yes","0","39073","3986944","2923","4028940","4.50"
"2026-06-03T01:40:46.863Z","bc-15fe3185-4d16-4af4-b53a-c4d012b5e0c3","","Free","gpt-5.5-high","Yes","0","53320","303104","327","356751","Free"
"2026-06-03T01:06:52.994Z","bc-15fe3185-4d16-4af4-b53a-c4d012b5e0c3","","Free","gpt-5.5-high","No","66772","222364","22011616","42453","22343205","Free"
"2026-06-03T01:00:26.570Z","bc-15fe3185-4d16-4af4-b53a-c4d012b5e0c3","","Free","gpt-5.5-high","Yes","0","7211","300032","1004","308247","Free"
"2026-06-03T00:47:08.660Z","bc-15fe3185-4d16-4af4-b53a-c4d012b5e0c3","","On-Demand","gpt-5.5-high","Yes","0","303288","0","619","303907","3.05"
"2026-06-03T00:14:49.332Z","bc-15fe3185-4d16-4af4-b53a-c4d012b5e0c3","","Included","gpt-5.5-high","Yes","0","310251","889344","1793","1201388","Included"
"2026-06-03T00:10:34.823Z","bc-c10cc378-e47d-4e16-b523-ba5060479054","","Included","gpt-5.5-high","Yes","0","272046","2531328","5639","2809013","Included"
"2026-06-03T00:09:29.778Z","bc-c10cc378-e47d-4e16-b523-ba5060479054","","Included","gpt-5.5-high","Yes","0","41170","167424","797","209391","Included"
"2026-06-03T00:05:56.324Z","bc-15fe3185-4d16-4af4-b53a-c4d012b5e0c3","","Included","gpt-5.5-high","Yes","0","34330","1090048","3257","1127635","Included"
"2026-06-02T23:44:00.885Z","bc-15fe3185-4d16-4af4-b53a-c4d012b5e0c3","","Included","gpt-5.5-high","No","21766","15260","1622210","4326","1663562","Included"
"2026-06-02T23:43:14.456Z","bc-c10cc378-e47d-4e16-b523-ba5060479054","","Included","gpt-5.5-high","Yes","0","325797","8390690","27157","8743644","Included"
"2026-06-02T23:39:20.475Z","bc-15fe3185-4d16-4af4-b53a-c4d012b5e0c3","","Included","gpt-5.5-high","Yes","0","3490","264704","161","268355","Included"
"2026-06-02T23:35:42.157Z","bc-15fe3185-4d16-4af4-b53a-c4d012b5e0c3","","Included","gpt-5.5-high","Yes","0","3250","264192","228","267670","Included"
"2026-06-02T23:34:12.477Z","bc-15fe3185-4d16-4af4-b53a-c4d012b5e0c3","","Included","gpt-5.5-high","Yes","0","2827","263680","259","266766","Included"
"2026-06-02T23:32:33.369Z","bc-15fe3185-4d16-4af4-b53a-c4d012b5e0c3","","Included","gpt-5.5-high","Yes","0","3578","262656","248","266482","Included"
"2026-06-02T23:29:13.873Z","bc-15fe3185-4d16-4af4-b53a-c4d012b5e0c3","","Included","gpt-5.5-high","Yes","0","3596","261632","498","265726","Included"
"2026-06-02T23:21:41.831Z","bc-15fe3185-4d16-4af4-b53a-c4d012b5e0c3","","Included","gpt-5.5-high","Yes","0","264363","0","1062","265425","Included"
"2026-06-02T22:54:49.068Z","bc-c10cc378-e47d-4e16-b523-ba5060479054","","Included","gpt-5.5-high","Yes","0","55647","113152","1467","170266","Included"
"2026-06-02T22:44:26.311Z","bc-c10cc378-e47d-4e16-b523-ba5060479054","","Included","gpt-5.5-high","Yes","0","70163","1540608","7188","1617959","Included"
"2026-06-02T22:35:09.504Z","bc-c10cc378-e47d-4e16-b523-ba5060479054","","Included","gpt-5.5-high","Yes","0","110610","110080","1962","222652","Included"
"2026-06-02T22:33:40.243Z","bc-15fe3185-4d16-4af4-b53a-c4d012b5e0c3","","Included","gpt-5.5-high","Yes","51817","76768","10213668","15016","10357269","Included"
"2026-06-02T22:29:57.196Z","bc-15fe3185-4d16-4af4-b53a-c4d012b5e0c3","","Included","gpt-5.5-high","Yes","0","4334","232448","285","237067","Included"
"2026-06-02T22:27:50.804Z","bc-76754f00-2853-4f30-a52c-d457db28035d","","Included","gpt-5.5-high","Yes","0","43807","215040","5654","264501","Included"
"2026-06-02T22:22:36.384Z","bc-3a25bd08-1100-40ee-8c2a-92a0bf733cdf","","Included","gpt-5.5-high","Yes","0","114369","773120","8130","895619","Included"
"2026-06-02T22:20:15.728Z","bc-7605f47b-95a9-4cc3-8912-1142e9df9e9e","","Included","gpt-5.5-high","Yes","0","74649","601088","7786","683523","Included"
"2026-06-02T22:17:38.688Z","bc-15fe3185-4d16-4af4-b53a-c4d012b5e0c3","","Included","gpt-5.5-high","Yes","0","2981","231936","871","235788","Included"
"2026-06-02T22:15:59.195Z","bc-c10cc378-e47d-4e16-b523-ba5060479054","","Included","gpt-5.5-high","Yes","0","278903","3030971","25622","3335496","Included"
"2026-06-02T22:14:27.173Z","bc-15fe3185-4d16-4af4-b53a-c4d012b5e0c3","","Included","gpt-5.5-high","Yes","0","12663","221696","546","234905","Included"
"2026-06-02T22:07:10.567Z","bc-15fe3185-4d16-4af4-b53a-c4d012b5e0c3","","Included","gpt-5.5-high","Yes","0","30122","3616256","7725","3654103","Included"
"2026-06-02T22:02:23.369Z","bc-15fe3185-4d16-4af4-b53a-c4d012b5e0c3","","Included","gpt-5.5-high","Yes","0","3266","219136","646","223048","Included"
"2026-06-02T21:57:43.088Z","bc-15fe3185-4d16-4af4-b53a-c4d012b5e0c3","","Included","gpt-5.5-high","Yes","0","4837","217088","774","222699","Included"
"2026-06-02T21:54:37.430Z","bc-15fe3185-4d16-4af4-b53a-c4d012b5e0c3","","Included","gpt-5.5-high","Yes","0","4238","215552","935","220725","Included"
"2026-06-02T21:49:29.698Z","bc-15fe3185-4d16-4af4-b53a-c4d012b5e0c3","","Included","gpt-5.5-high","Yes","0","2692","215040","369","218101","Included"
